"batch","path","status","error"
"api","api/v2/endpoints/follow-user.php","pass",""
"api","api/v2/endpoints/fortumo.php","pass",""
"api","api/v2/endpoints/forward_message.php","pass",""
"api","api/v2/endpoints/funding.php","pass",""
"api","api/v2/endpoints/games.php","pass",""
"api","api/v2/endpoints/get-activities.php","pass",""
"api","api/v2/endpoints/get-articles.php","pass",""
"api","api/v2/endpoints/get-blocked-users.php","pass",""
"api","api/v2/endpoints/get-blog-by-id.php","pass",""
"api","api/v2/endpoints/get-community.php","pass",""
"api","api/v2/endpoints/get-events.php","pass",""
"api","api/v2/endpoints/get-friends.php","pass",""
"api","api/v2/endpoints/get-general-data.php","pass",""
"api","api/v2/endpoints/get-group-data.php","pass",""
"api","api/v2/endpoints/get-many-users-data.php","pass",""
"api","api/v2/endpoints/get-movies.php","pass",""
"api","api/v2/endpoints/get-my-groups.php","pass",""
"api","api/v2/endpoints/get-my-pages.php","pass",""
"api","api/v2/endpoints/get-nearby-users.php","pass",""
"api","api/v2/endpoints/get-page-data.php","pass",""
"api","api/v2/endpoints/get-post-data.php","pass",""
"api","api/v2/endpoints/get-products.php","pass",""
"api","api/v2/endpoints/get-promoted-post.php","pass",""
"api","api/v2/endpoints/get-reactions.php","pass",""
"api","api/v2/endpoints/get-site-settings.php","pass",""
"api","api/v2/endpoints/get-stories.php","pass",""
"api","api/v2/endpoints/get-user-albums.php","pass",""
"api","api/v2/endpoints/get-user-data-phone.php","pass",""
"api","api/v2/endpoints/get-user-data-username.php","pass",""
"api","api/v2/endpoints/get-user-data.php","pass",""
"api","api/v2/endpoints/get-user-stories.php","pass",""
"api","api/v2/endpoints/get-user-suggestions.php","pass",""
"api","api/v2/endpoints/get_archived_chats.php","pass",""
"api","api/v2/endpoints/get_ban_list.php","pass",""
"api","api/v2/endpoints/get_boost.php","pass",""
"api","api/v2/endpoints/get_chats.php","pass",""
"api","api/v2/endpoints/get_event_by_id.php","pass",""
"api","api/v2/endpoints/get_fav_messages.php","pass",""
"api","api/v2/endpoints/get_friends_birthday.php","pass",""
"api","api/v2/endpoints/get_group_members.php","pass",""
"api","api/v2/endpoints/get_invites.php","pass",""
"api","api/v2/endpoints/get_live_friends.php","pass",""
"api","api/v2/endpoints/get_memories.php","pass",""
"api","api/v2/endpoints/get_page_admins.php","pass",""
"api","api/v2/endpoints/get_pin_chats.php","pass",""
"api","api/v2/endpoints/get_pin_message.php","pass",""
"api","api/v2/endpoints/get_referrers.php","pass",""
"api","api/v2/endpoints/get_story_by_id.php","pass",""
"api","api/v2/endpoints/get_story_views.php","pass",""
"api","api/v2/endpoints/get_user_messages.php","pass",""
"api","api/v2/endpoints/gift.php","pass",""
"api","api/v2/endpoints/go-to-event.php","pass",""
"api","api/v2/endpoints/group_add.php","pass",""
"api","api/v2/endpoints/group_chat.php","pass",""
"api","api/v2/endpoints/groups.php","pass",""
"api","api/v2/endpoints/hide_post.php","pass",""
"api","api/v2/endpoints/instagram.php","pass",""
"api","api/v2/endpoints/interest-event.php","pass",""
"api","api/v2/endpoints/invitation.php","pass",""
"api","api/v2/endpoints/is-active.php","pass",""
"api","api/v2/endpoints/iyzipay.php","pass",""
"api","api/v2/endpoints/job.php","pass",""
"api","api/v2/endpoints/join-group.php","pass",""
"api","api/v2/endpoints/like-page.php","pass",""
"api","api/v2/endpoints/linkedin.php","pass",""
"api","api/v2/endpoints/listening.php","pass",""
"api","api/v2/endpoints/live.php","pass",""
"api","api/v2/endpoints/make_group_admin.php","pass",""
"api","api/v2/endpoints/make_page_admin.php","pass",""
"api","api/v2/endpoints/market.php","pass",""
"api","api/v2/endpoints/most_liked.php","pass",""
"api","api/v2/endpoints/most_watched.php","pass",""
"api","api/v2/endpoints/movies_comments.php","pass",""
"api","api/v2/endpoints/mute.php","pass",""
"api","api/v2/endpoints/mute_story.php","pass",""
"api","api/v2/endpoints/my_activities.php","pass",""
"api","api/v2/endpoints/nearby.php","pass",""
"api","api/v2/endpoints/new_post.php","pass",""
"api","api/v2/endpoints/ngenius.php","pass",""
"api","api/v2/endpoints/not_in_group_member.php","pass",""
"api","api/v2/endpoints/not_in_page_member.php","pass",""
"api","api/v2/endpoints/notifications.php","pass",""
"api","api/v2/endpoints/offer.php","pass",""
"api","api/v2/endpoints/page_add.php","pass",""
"api","api/v2/endpoints/page_chat.php","pass",""
"api","api/v2/endpoints/page_reviews.php","pass",""
"api","api/v2/endpoints/page_verification.php","pass",""
"api","api/v2/endpoints/payfast.php","pass",""
"api","api/v2/endpoints/paysera.php","pass",""
"api","api/v2/endpoints/paystack.php","pass",""
"api","api/v2/endpoints/pin_message.php","pass",""
"api","api/v2/endpoints/poke.php","pass",""
"api","api/v2/endpoints/post-actions.php","pass",""
"api","api/v2/endpoints/posts.php","pass",""
"api","api/v2/endpoints/rate_page.php","pass",""
"api","api/v2/endpoints/razorpay.php","pass",""
"api","api/v2/endpoints/react_message.php","pass",""
"api","api/v2/endpoints/react_story.php","pass",""
"api","api/v2/endpoints/read_chats.php","pass",""
"api","api/v2/endpoints/recent_search.php","pass",""
"api","api/v2/endpoints/refund_pro.php","pass",""
"api","api/v2/endpoints/report_comment.php","pass",""
"api","api/v2/endpoints/report_group.php","pass",""
"api","api/v2/endpoints/report_page.php","pass",""
"api","api/v2/endpoints/report_user.php","pass",""
"api","api/v2/endpoints/resend_code.php","pass",""
"api","api/v2/endpoints/reset_avatar.php","pass",""
"api","api/v2/endpoints/reset_password.php","pass",""
"api","api/v2/endpoints/search.php","pass",""
"api","api/v2/endpoints/search_for_posts.php","pass",""
"api","api/v2/endpoints/securionpay.php","pass",""
"api","api/v2/endpoints/send-message.php","pass",""
"api","api/v2/endpoints/send-reset-password-email.php","pass",""
"api","api/v2/endpoints/sessions.php","pass",""
"api","api/v2/endpoints/set-browser-cookie.php","pass",""
"api","api/v2/endpoints/set-chat-typing-status.php","pass",""
"api","api/v2/endpoints/social-login.php","pass",""
"api","api/v2/endpoints/stop_notify.php","pass",""
"api","api/v2/endpoints/stripe.php","pass",""
"api","api/v2/endpoints/twilio.php","pass",""
"api","api/v2/endpoints/two-factor.php","pass",""
"api","api/v2/endpoints/update-group-data.php","pass",""
"api","api/v2/endpoints/update-page-data.php","pass",""
"api","api/v2/endpoints/update-user-data.php","pass",""
"api","api/v2/endpoints/update_privileges.php","pass",""
"api","api/v2/endpoints/update_two_factor.php","pass",""
"api","api/v2/endpoints/upgrade.php","pass",""
"api","api/v2/endpoints/validation_user.php","pass",""
"api","api/v2/endpoints/verification.php","pass",""
"api","api/v2/endpoints/vote_up.php","pass",""
"api","api/v2/endpoints/wallet.php","pass",""
"api","api/v2/endpoints/withdraw.php","pass",""
"api","api/v2/endpoints/yoomoney.php","pass",""
"api","api/v2/functions.php","pass",""
"api","api/v2/init.php","pass",""
"api","api/windows_app/active_account_sms.php","pass",""
"api","api/windows_app/block_user.php","pass",""
"api","api/windows_app/change_color.php","pass",""
"api","api/windows_app/check-hash.php","pass",""
"api","api/windows_app/check_for_answer.php","pass",""
"api","api/windows_app/core/functions.php","pass",""
"api","api/windows_app/create_video_call.php","pass",""
"api","api/windows_app/delete_messages.php","pass",""
"api","api/windows_app/follow_user.php","pass",""
"api","api/windows_app/get_multi_users.php","pass",""
"api","api/windows_app/get_settings.php","pass",""
"api","api/windows_app/get_user_data.php","pass",""
"api","api/windows_app/get_user_friends.php","pass",""
"api","api/windows_app/get_user_messages.php","pass",""
"api","api/windows_app/get_user_posts_friends.php","pass",""
"api","api/windows_app/get_users_list.php","pass",""
"api","api/windows_app/insert_new_message.php","pass",""
"api","api/windows_app/login-with.php","pass",""
"api","api/windows_app/login.php","pass",""
"api","api/windows_app/logout.php","pass",""
"api","api/windows_app/register_typing.php","pass",""
"api","api/windows_app/register_user.php","pass",""
"api","api/windows_app/remove_typing.php","pass",""
"api","api/windows_app/search_public_users.php","pass",""
"api","api/windows_app/social-login.php","pass",""
"api","api/windows_app/two-factor.php","pass",""
"api","api/windows_app/update_profile_picture.php","pass",""
"api","api/windows_app/update_user_data.php","pass",""
"api","api/windows_app/update_user_lastseen.php","pass",""
"api","api/windows_app/video_call_answer.php","pass",""
"assets-first-party","assets/includes/app_start.php","pass",""
"assets-first-party","assets/includes/cache.php","pass",""
"assets-first-party","assets/includes/data.php","pass",""
"assets-first-party","assets/includes/functions_general.php","pass",""
"assets-first-party","assets/includes/functions_one.php","pass",""
"assets-first-party","assets/includes/functions_three.php","pass",""
"assets-first-party","assets/includes/functions_two.php","pass",""
"assets-first-party","assets/includes/onesignal_config.php","pass",""
"assets-first-party","assets/includes/paypal_config.php","pass",""
"assets-first-party","assets/includes/phpMailer_config.php","pass",""
"assets-first-party","assets/includes/stripe_config.php","pass",""
"assets-first-party","assets/includes/tabels.php","pass",""
"assets-first-party","assets/init.php","pass",""
"assets-first-party","assets/languages/english.php","pass",""
"assets-first-party","assets/languages/extra/arabic.php","pass",""
"assets-first-party","assets/languages/extra/bengali.php","pass",""
"assets-first-party","assets/languages/extra/chinese.php","pass",""
"assets-first-party","assets/languages/extra/croatian.php","pass",""
"assets-first-party","assets/languages/extra/danish.php","pass",""
"assets-first-party","assets/languages/extra/dutch.php","pass",""
"assets-first-party","assets/languages/extra/english.php","pass",""
"assets-first-party","assets/languages/extra/farsi.php","pass",""
"assets-first-party","assets/languages/extra/filipino.php","pass",""
"assets-first-party","assets/languages/extra/french.php","pass",""
"assets-first-party","assets/languages/extra/german.php","pass",""
"assets-first-party","assets/languages/extra/hebrew.php","pass",""
"assets-first-party","assets/languages/extra/hindi.php","pass",""
"assets-first-party","assets/languages/extra/indonesian.php","pass",""
"assets-first-party","assets/languages/extra/italian.php","pass",""
"assets-first-party","assets/languages/extra/japanese.php","pass",""
"assets-first-party","assets/languages/extra/korean.php","pass",""
"assets-first-party","assets/languages/extra/new.php","pass",""
"assets-first-party","assets/languages/extra/persian.php","pass",""
"assets-first-party","assets/languages/extra/portuguese.php","pass",""
"assets-first-party","assets/languages/extra/russian.php","pass",""
"assets-first-party","assets/languages/extra/spanish.php","pass",""
"assets-first-party","assets/languages/extra/swedish.php","pass",""
